Stock Symbol,Defensive Value,Defensive,Enterprising Value,Enterprising,Overall Value
K,3,1011000,5,1011110,8
KMB,3,1011000,5,1011110,8
LH,3,1011000,5,1011110,8
LHX,3,1011000,5,1011110,8
LIN,3,1011000,5,1011110,8
LNT,3,1011000,5,1011110,8
LOW,3,1011000,5,1011110,8
LULU,3,1011000,5,1110110,8
LYB,3,1011000,5,1111010,8
MA,3,1011000,5,1011110,8
MAA,3,1011000,5,1011110,8
MCD,3,1011000,5,1011110,8
MCO,3,1011000,5,1011110,8
MDLZ,3,1011000,5,1011110,8
MET,3,1011000,5,1111010,8
MMC,3,1011000,5,1011110,8
MOS,4,1001011,4,1001011,8
MRK,3,1011000,5,1011110,8
MSFT,3,1011000,5,1011110,8
MTB,3,1011000,5,1011110,8
MTCH,3,1101000,5,1111010,8
NDAQ,3,1011000,5,1011110,8
NEE,3,1011000,5,1011110,8
NOC,3,1011000,5,1011110,8
NSC,3,1011000,5,1011110,8
NTAP,3,1011000,5,1011110,8
OKE,3,1011000,5,1011110,8
ORCL,3,1011000,5,1011110,8
PAYX,3,1011000,5,1011110,8
PEP,3,1011000,5,1011110,8
PFG,4,1011010,4,1011010,8
PGR,3,1011000,5,1011110,8
PM,3,1011000,5,1011110,8
PNC,3,1011000,5,1011110,8
PNW,3,1011000,5,1011110,8
PPG,3,1011000,5,1011110,8
PSA,3,1011000,5,1011110,8
PWR,3,1011000,5,1011110,8
ROK,3,1011000,5,1011110,8
ROL,3,1011000,5,1011110,8
ROP,3,1011000,5,1011110,8
RSG,3,1011000,5,1011110,8
SCHW,3,1011000,5,1011110,8
SHW,3,1011000,5,1011110,8
SPG,3,1011000,5,1011110,8
SPGI,3,1011000,5,1011110,8
SRE,3,1011000,5,1011110,8
STLD,3,1101000,5,1111010,8
SYY,3,1011000,5,1011110,8
TAP,3,1001001,5,1001111,8
TJX,3,1011000,5,1011110,8
TMUS,3,1011000,5,1011110,8
TPR,3,1001010,5,1101110,8
TSCO,3,1011000,5,1011110,8
TYL,3,1011000,5,1011110,8
UAL,4,1001011,4,1001011,8
UHS,3,1011000,5,1011110,8
UNH,3,1011000,5,1011110,8
UNP,3,1011000,5,1011110,8
UPS,3,1011000,5,1011110,8
URI,4,1011010,4,1011010,8
USB,3,1011000,5,1011110,8
V,3,1011000,5,1011110,8
VRSK,3,1011000,5,1011110,8
WAB,3,1011000,5,1011110,8
WEC,3,1011000,5,1011110,8
WFC,3,1011000,5,1011110,8
WRB,3,1011000,5,1011110,8
XEL,3,1011000,5,1011110,8
ABBV,3,1011000,4,1011010,7
AKAM,3,1011000,4,1010110,7
ALLE,3,1101000,4,1101010,7
ARE,3,1101000,4,1101010,7
AVY,3,1011000,4,1011010,7
AWK,3,1011000,4,1011010,7
AZO,3,1011000,4,1010110,7
BIIB,3,1011000,4,1010110,7
BKNG,3,1001001,4,1001011,7
BX,3,1011000,4,1011010,7
CARR,3,1011000,4,1011010,7
CCI,3,1011000,4,1011010,7
CDW,3,1011000,4,1011010,7
CINF,3,1001001,4,1001011,7
CLX,3,1011000,4,1011010,7
CNC,3,1011000,4,1010110,7
COP,3,1001010,4,1001110,7
CPAY,3,1011000,4,1010110,7
CPB,3,1011000,4,1011010,7
CRL,3,1011000,4,1010110,7
CRM,2,1001000,5,1011110,7
CTRA,3,1101000,4,1101010,7
CTSH,3,1101000,4,1101010,7
DOW,2,1001000,5,1111010,7
EA,3,1011000,4,1011010,7
EFX,2,1001000,5,1011110,7
EIX,2,1001000,5,1011110,7
ENPH,3,1101000,4,1110010,7
ETR,2,1001000,5,1011110,7
FFIV,3,1011000,4,1010110,7
FSLR,3,1101000,4,1100110,7
FTV,3,1011000,4,1011010,7
GEHC,3,1011000,4,1011010,7
GLW,2,1001000,5,1111010,7
HOLX,3,1101000,4,1110010,7
HSIC,3,1011000,4,1010110,7
IDXX,3,1011000,4,1010110,7
IEX,3,1101000,4,1101010,7
IQV,3,1011000,4,1010110,7
IR,3,1101000,4,1101010,7
IVZ,3,1001010,4,1001110,7
KDP,3,1011000,4,1011010,7
KEY,4,1001011,3,1001010,7
KIM,3,1101000,4,1101010,7
KLAC,3,1101000,4,1101010,7
KVUE,3,1011000,4,1011010,7
LDOS,2,1001000,5,1011110,7
LKQ,3,1001010,4,1101010,7
LW,3,1011000,4,1011010,7
MHK,4,1101010,3,1100010,7
MLM,3,1101000,4,1101010,7
MO,2,1001000,5,1011110,7
MOH,2,1001000,5,1110110,7
MPC,3,1001010,4,1001110,7
MU,3,1101000,4,1101010,7
NDSN,3,1101000,4,1101010,7
NFLX,3,1011000,4,1010110,7
NRG,3,1001010,4,1001110,7
OTIS,3,1001001,4,1001011,7
PCAR,3,1101000,4,1101010,7
PKG,3,1101000,4,1101010,7
PLD,3,1011000,4,1011010,7
PODD,3,1101000,4,1110010,7
QRVO,4,1101010,3,1100010,7
REGN,3,1101000,4,1101010,7
RL,2,1001000,5,1101110,7
SBAC,3,1001001,4,1001011,7
STT,3,1011000,4,1011010,7
STX,3,1001001,4,1001011,7
SWKS,3,1101000,4,1101010,7
SYF,3,1011000,4,1011010,7
TER,3,1101000,4,1101010,7
TGT,2,1001000,5,1011110,7
TPL,3,1101000,4,1101010,7
TRMB,3,1011000,4,1010110,7
TSLA,3,1101000,4,1110010,7
TSN,3,1101000,4,1101010,7
VICI,3,1101000,4,1101010,7
VRSN,3,1001001,4,1001011,7
VTRS,3,1001010,4,1101010,7
WDC,3,1001010,4,1101010,7
WMB,2,1001000,5,1011110,7
WYNN,2,1001000,5,1101110,7
ZBH,2,1001000,5,1101110,7
AES,3,1001010,3,1001010,6
AJG,2,1001000,4,1101010,6
ALB,2,1001000,4,1101010,6
ALGN,3,1011000,3,1010010,6
AXON,3,1101000,3,1100010,6
BBY,3,1001010,3,1001010,6
BK,3,1001010,3,1001010,6
BKR,2,1001000,4,1001110,6
BLDR,2,1001000,4,1110010,6
BMY,3,1001010,3,1001010,6
BRK-B,3,1101000,3,1100010,6
BXP,2,1001000,4,1101010,6
CAG,2,1001000,4,1011010,6
CAH,2,1001000,4,1001110,6
CCL,3,1001010,3,1001010,6
CEG,2,1001000,4,1101010,6
CHTR,2,1001000,4,1010110,6
CNP,2,1001000,4,1001110,6
COR,2,1001000,4,1001110,6
CPRT,3,1101000,3,1100010,6
CTVA,2,1001000,4,1011010,6
CVX,2,1001000,4,1001110,6
D,2,1001000,4,1001110,6
DELL,2,1001000,4,1011010,6
DIS,2,1001000,4,1001110,6
DRI,2,1001000,4,1001110,6
EBAY,2,1001000,4,1001110,6
EQT,2,1001000,4,1001110,6
ES,2,1001000,4,1001110,6
EXPE,2,1001000,4,1001110,6
FE,2,1001000,4,1011010,6
GEN,2,1001000,4,1011010,6
GILD,2,1001000,4,1101010,6
GM,2,1001000,4,1011010,6
GNRC,2,1001000,4,1101010,6
GOOG,2,1001000,4,1101010,6
GOOGL,2,1001000,4,1101010,6
HAS,2,1001000,4,1101010,6
HES,2,1001000,4,1001110,6
HIG,2,1001000,4,1101010,6
HST,2,1001000,4,1101010,6
IFF,2,1001000,4,1101010,6
JCI,2,1001000,4,1011010,6
JPM,3,1001010,3,1001010,6
KEYS,3,1101000,3,1100010,6
KHC,2,1001000,4,1011010,6
KR,2,1001000,4,1101010,6
LUV,2,1001000,4,1001110,6
MMM,2,1001000,4,1001110,6
MRNA,3,1101000,3,1100010,6
NEM,2,1001000,4,1101010,6
NI,2,1001000,4,1001110,6
NWS,2,1001000,4,1101010,6
NWSA,2,1001000,4,1101010,6
ORLY,3,1001001,3,1000011,6
OXY,2,1001000,4,1001110,6
PCG,3,1001001,3,1001010,6
PEG,2,1001000,4,1001110,6
PLTR,3,1101000,3,1100010,6
PNR,2,1001000,4,1101010,6
PPL,2,1001000,4,1001110,6
PSX,3,1001010,3,1001010,6
PTC,2,1001000,4,1010110,6
